filename,slide_id,specimen_id,species,clade,image_type,mounting,pixel_size_um,preservation,analysis_set,sra_accession,genome_accession,notes
Process_362_raw_green.ome.tiff,362,3458,D. valtos,auriculatus C,brightfield,dry,0.12,Dried Blood,True,SRX20503015,GCA_032357565.1,
Process_363_raw_green.ome.tiff,363,3459,D. valtos,auriculatus C,brightfield,dry,0.12,Dried Blood,True,SRX20503015,GCA_032357565.1,high rate of enucleuated cells
Process_364_raw_green.ome.tiff,364,3506,D. ocoee,ocoee FGH,brightfield,dry,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_365_raw_green.ome.tiff,365,3507,D. ocoee,ocoee FGH,brightfield,dry,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_366_raw_green.ome.tiff,366,3521,D. folkertsi,folkertsi,brightfield,dry,0.12,Dried Blood,True,,,
Process_367_raw_green.ome.tiff,367,3520,D. folkertsi,folkertsi,brightfield,dry,0.12,Dried Blood,True,,,
Process_368_raw_green.ome.tiff,368,3374,D. monticola,monticola B,brightfield,dry,0.12,Dried Blood,True,SRX19955091,GCA_031753675.1,
Process_369_raw_green.ome.tiff,369,3375,D. monticola,monticola B,brightfield,dry,0.12,Dried Blood,True,SRX19955091,GCA_031753675.1,
Process_370_raw_green.ome.tiff,370,3372,D. fuscus,fuscus B,brightfield,dry,0.12,Dried Blood,True,SRX20497025,GCA_032353935.1,
Process_371_raw_green.ome.tiff,371,3373,D. fuscus,fuscus B,brightfield,dry,0.12,Dried Blood,True,SRX20497025,GCA_032353935.1,
Process_372_raw_green.ome.tiff,372,3371,D. ochrophaeus,ochrophaeus,brightfield,dry,0.12,Dried Blood,True,,,
Process_373_raw_green.ome.tiff,373,3355,D. mavrokoilius,quadramaculatus C,brightfield,dry,0.12,Dried Blood,True,SRX20503049,GCA_032354855.1,
Process_374_raw_green.ome.tiff,374,3392,D. welteri,welteri,brightfield,dry,0.12,Dried Blood,True,SRX19958882,GCA_030264495.1,
Process_375_raw_green.ome.tiff,375,3393,D. welteri,welteri,brightfield,dry,0.12,Dried Blood,True,SRX19958882,GCA_030264495.1,
Process_376_raw_green.ome.tiff,376,3401,D. fuscus,fuscus A,brightfield,dry,0.12,Dried Blood,True,SRX20497025,GCA_032353935.1,
Process_377_raw_green.ome.tiff,377,3402,D. fuscus,fuscus A,brightfield,dry,0.12,Dried Blood,True,SRX20497025,GCA_032353935.1,
Process_379_raw_green.ome.tiff,379,3462,D. auriculatus,auriculatus A,brightfield,dry,0.12,Dried Blood,True,SRX19953419,GCA_030264895.1,
Process_380_raw_green.ome.tiff,380,3463,D. auriculatus,auriculatus A,brightfield,dry,0.12,Dried Blood,True,SRX19953419,GCA_030264895.1,
Process_381_raw_green.ome.tiff,381,3444,D. marmoratus,marmoratus E,brightfield,dry,0.12,Dried Blood,True,SRX19954879,GCA_031753695.1,
Process_382_raw_green.ome.tiff,382,3445,D. marmoratus,marmoratus E,brightfield,dry,0.12,Dried Blood,True,SRX19954879,GCA_031753695.1,
Process_384_raw_green.ome.tiff,384,3442,D. amphileucus,quadramaculatus A,brightfield,dry,0.12,Dried Blood,True,SRX20502537,GCA_032360725.1,
Process_354_green.ome.tiff,354,3517,D. perlapsus,ocoee D,pmount,pmount,0.12,Dried Blood,True,SRX20503048,GCA_032275285.1,
Process_355_green.ome.tiff,355,3518,D. perlapsus,ocoee D,pmount,pmount,0.12,Dried Blood,True,SRX20503048,GCA_032275285.1,
Process_356_green.ome.tiff,356,3471,D. apalachicolae,apalachicolae A1,pmount,pmount,0.12,Dried Blood,True,SRX19952657,GCA_030264955.1,
Process_357_green.ome.tiff,357,3472,D. apalachicolae,apalachicolae A1,pmount,pmount,0.12,Dried Blood,True,SRX19952657,GCA_030264955.1,
Process_358_green.ome.tiff,358,3599,D. perlapsus,ocoee D,pmount,pmount,0.12,Dried Blood,True,SRX20503048,GCA_032275285.1,
Process_359_green.ome.tiff,359,3455,D. bairdi,fuscus D,pmount,pmount,0.12,Dried Blood,True,SRX21425397,GCA_034783875.1,
Process_360_green.ome.tiff,360,3456,D. lycos,fuscus C,pmount,pmount,0.12,Dried Blood,True,SRX21425400,GCA_035049765.1,
Process_361_green.ome.tiff,361,3437,D. amphileucus,quadramaculatus A,pmount,pmount,0.12,Dried Blood,True,SRX20502537,GCA_032360725.1,
Process_362_green.ome.tiff,362,3458,D. valtos,auriculatus C,pmount,pmount,0.12,Dried Blood,True,SRX20503015,GCA_032357565.1,
Process_363_green.ome.tiff,363,3459,D. valtos,auriculatus C,pmount,pmount,0.12,Dried Blood,True,SRX20503015,GCA_032357565.1,high rate of enucleuated cells
Process_364_green.ome.tiff,364,3506,D. ocoee,ocoee FGH,pmount,pmount,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_365_green.ome.tiff,365,3507,D. ocoee,ocoee FGH,pmount,pmount,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_366_green.ome.tiff,366,3521,D. folkertsi,folkertsi,pmount,pmount,0.12,Dried Blood,True,,,
Process_367_green.ome.tiff,367,3520,D. folkertsi,folkertsi,pmount,pmount,0.12,Dried Blood,True,,,
Process_368_green.ome.tiff,368,3428,D. intermedius,marmoratus C,pmount,pmount,0.12,Dried Blood,True,SRX20502776,GCA_032275315.1,
Process_369_green.ome.tiff,369,3419,D. mavrokoilius,quadramaculatus E,pmount,pmount,0.12,Dried Blood,True,SRX20503049,GCA_032354855.1,
Process_370_green.ome.tiff,370,3429,D. gvnigeusgwotli,quadramaculatus F,pmount,pmount,0.12,Dried Blood,True,SRX20502827,GCA_032353775.1,
Process_371_green.ome.tiff,371,3513,D. ocoee,apalachicolae A2,pmount,pmount,0.12,Dried Blood,True,SRX19952863,GCA_030264995.1,
Process_372_green.ome.tiff,372,3434,,,pmount,pmount,0.12,Dried Blood,False,,,
Process_373_green.ome.tiff,373,3472,D. apalachicolae,apalachicolae A1,pmount,pmount,0.12,Dried Blood,True,SRX19952657,GCA_030264955.1,
Process_374_green.ome.tiff,374,3432,D. campi,conanti A,pmount,pmount,0.12,Dried Blood,True,SRX21425398,GCA_033118305.1,
Process_375_green.ome.tiff,375,3464,D. brimleyorum,brimleyorum,pmount,pmount,0.12,Dried Blood,True,,,
